number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,user_attrs_fold_auc,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
23,0.8974711966966922,2026-09-08 13:39:52.293722,2026-09-08 13:39:57.543419,0 days 00:00:05.249697,0.8402541146906074,0.26039229309439266,0.07044386774064158,2,4.372043778006463,1200,2.677622196690285,3.845181036700139,1.2622591848792477,0.8570089158870796,"[0.9006105612864501, 0.8950059155016845, 0.9016499392788844, 0.892838816845573, 0.8972507505708696]",,"{""colsample_bytree"": 0.8402541146906074, ""gamma"": 0.26039229309439266, ""learning_rate"": 0.07044386774064158, ""max_depth"": 2, ""min_child_weight"": 4.372043778006463, ""n_estimators"": 1200, ""reg_alpha"": 2.677622196690285, ""reg_lambda"": 3.845181036700139, ""scale_pos_weight"": 1.2622591848792477, ""subsample"": 0.8570089158870796}",COMPLETE
24,0.8943220631845239,2026-09-08 13:39:57.547420,2026-09-08 13:40:02.472041,0 days 00:00:04.924621,0.8258745539792135,0.03500926709748178,0.05502011450494692,2,4.779495241333452,1100,0.6925738119769338,3.4353920145099193,1.5951496647177228,0.8783585599525048,"[0.8976442998925167, 0.8914278673018585, 0.8978997473443238, 0.8901668085819177, 0.8944715928020037]",,"{""colsample_bytree"": 0.8258745539792135, ""gamma"": 0.03500926709748178, ""learning_rate"": 0.05502011450494692, ""max_depth"": 2, ""min_child_weight"": 4.779495241333452, ""n_estimators"": 1100, ""reg_alpha"": 0.6925738119769338, ""reg_lambda"": 3.4353920145099193, ""scale_pos_weight"": 1.5951496647177228, ""subsample"": 0.8783585599525048}",COMPLETE
25,0.9015835732801236,2026-09-08 13:40:02.477043,2026-09-08 13:40:07.408584,0 days 00:00:04.931541,0.867998122841973,0.34676308257609045,0.04655902089700808,3,6.59358865377389,1100,0.09605392495277336,7.768196180478539,1.8150471568590114,0.864057407904062,"[0.9049311129412752, 0.8989663292267648, 0.9058412317313196, 0.8963371906363852, 0.901842001864873]",,"{""colsample_bytree"": 0.867998122841973, ""gamma"": 0.34676308257609045, ""learning_rate"": 0.04655902089700808, ""max_depth"": 3, ""min_child_weight"": 6.59358865377389, ""n_estimators"": 1100, ""reg_alpha"": 0.09605392495277336, ""reg_lambda"": 7.768196180478539, ""scale_pos_weight"": 1.8150471568590114, ""subsample"": 0.864057407904062}",COMPLETE
26,0.9025309461178523,2026-09-08 13:40:07.413585,2026-09-08 13:40:11.422723,0 days 00:00:04.009138,0.783345819635524,0.19291733911202616,0.06411177699661451,3,4.782081780173061,900,1.4360845987316595,12.729904781873831,3.039308316494121,0.9014323671046214,"[0.9059001381928836, 0.899315761079041, 0.9068705593322073, 0.8981680369631067, 0.9024002350220236]",,"{""colsample_bytree"": 0.783345819635524, ""gamma"": 0.19291733911202616, ""learning_rate"": 0.06411177699661451, ""max_depth"": 3, ""min_child_weight"": 4.782081780173061, ""n_estimators"": 900, ""reg_alpha"": 1.4360845987316595, ""reg_lambda"": 12.729904781873831, ""scale_pos_weight"": 3.039308316494121, ""subsample"": 0.9014323671046214}",COMPLETE
27,0.9035679085632367,2026-09-08 13:40:11.427724,2026-09-08 13:40:17.804655,0 days 00:00:06.376931,0.8379329288780953,0.22967005104718935,0.051305521162816205,4,4.111701394513277,1200,0.06181713739821975,5.213420222885021,2.630203280834108,0.8181726929956158,"[0.9060162760507545, 0.9016529354647932, 0.9071745836764892, 0.8985178464244337, 0.9044779011997126]",,"{""colsample_bytree"": 0.8379329288780953, ""gamma"": 0.22967005104718935, ""learning_rate"": 0.051305521162816205, ""max_depth"": 4, ""min_child_weight"": 4.111701394513277, ""n_estimators"": 1200, ""reg_alpha"": 0.06181713739821975, ""reg_lambda"": 5.213420222885021, ""scale_pos_weight"": 2.630203280834108, ""subsample"": 0.8181726929956158}",COMPLETE
28,0.8990358745407212,2026-09-08 13:40:17.809656,2026-09-08 13:40:22.074846,0 days 00:00:04.265190,0.7846374494174534,0.03547877944751862,0.08376962926461985,2,7.393675528563556,1000,0.3006389681080714,2.209359036462922,2.7173779016180886,0.8579839597400265,"[0.9026376694258714, 0.8965032812264946, 0.9031284635463923, 0.8941727271458284, 0.89873723135902]",,"{""colsample_bytree"": 0.7846374494174534, ""gamma"": 0.03547877944751862, ""learning_rate"": 0.08376962926461985, ""max_depth"": 2, ""min_child_weight"": 7.393675528563556, ""n_estimators"": 1000, ""reg_alpha"": 0.3006389681080714, ""reg_lambda"": 2.209359036462922, ""scale_pos_weight"": 2.7173779016180886, ""subsample"": 0.8579839597400265}",COMPLETE
29,0.9046727853083315,2026-09-08 13:40:22.079847,2026-09-08 13:40:28.724943,0 days 00:00:06.645096,0.8702050470142777,0.008911743386941978,0.07415805824053914,3,4.369944120084866,1200,0.042260114069201264,6.075700989710291,2.588304190635817,0.8414902506684043,"[0.9087926967154761, 0.9015276200481224, 0.9089829562110024, 0.899146833428719, 0.904913820138338]",,"{""colsample_bytree"": 0.8702050470142777, ""gamma"": 0.008911743386941978, ""learning_rate"": 0.07415805824053914, ""max_depth"": 3, ""min_child_weight"": 4.369944120084866, ""n_estimators"": 1200, ""reg_alpha"": 0.042260114069201264, ""reg_lambda"": 6.075700989710291, ""scale_pos_weight"": 2.588304190635817, ""subsample"": 0.8414902506684043}",COMPLETE
30,0.904379837603303,2026-09-08 13:40:28.729944,2026-09-08 13:40:35.718628,0 days 00:00:06.988684,0.8261597208769582,0.14793379463751938,0.05944550398126995,3,2.4244907682933534,1200,0.3256777244114414,3.645509163789771,1.7712570384490904,0.8042076770902509,"[0.908136071134438, 0.9013054573049817, 0.9086637166906295, 0.8992213738326889, 0.9045725690537767]",,"{""colsample_bytree"": 0.8261597208769582, ""gamma"": 0.14793379463751938, ""learning_rate"": 0.05944550398126995, ""max_depth"": 3, ""min_child_weight"": 2.4244907682933534, ""n_estimators"": 1200, ""reg_alpha"": 0.3256777244114414, ""reg_lambda"": 3.645509163789771, ""scale_pos_weight"": 1.7712570384490904, ""subsample"": 0.8042076770902509}",COMPLETE
31,0.9042630802143931,2026-09-08 13:40:35.725630,2026-09-08 13:40:41.990718,0 days 00:00:06.265088,0.8621286317753294,0.016318486201478494,0.06381432702011326,3,9.310102764213452,1200,0.01582752616516823,4.560205985297288,2.523850810060343,0.8151648556622165,"[0.9077505269476125, 0.9010835736607649, 0.90890157595723, 0.8993238319909547, 0.9042558925154031]",,"{""colsample_bytree"": 0.8621286317753294, ""gamma"": 0.016318486201478494, ""learning_rate"": 0.06381432702011326, ""max_depth"": 3, ""min_child_weight"": 9.310102764213452, ""n_estimators"": 1200, ""reg_alpha"": 0.01582752616516823, ""reg_lambda"": 4.560205985297288, ""scale_pos_weight"": 2.523850810060343, ""subsample"": 0.8151648556622165}",COMPLETE
32,0.903591749593961,2026-09-08 13:40:41.994719,2026-09-08 13:40:48.206386,0 days 00:00:06.211667,0.8309430466665306,0.19110318132454385,0.06127535733390835,3,6.966461065683267,1100,0.03449265307130568,5.876421553077341,2.7618163611687336,0.8149654899750401,"[0.9075685031896034, 0.9001703619829309, 0.907748712293583, 0.8989932857800919, 0.9034778847235965]",,"{""colsample_bytree"": 0.8309430466665306, ""gamma"": 0.19110318132454385, ""learning_rate"": 0.06127535733390835, ""max_depth"": 3, ""min_child_weight"": 6.966461065683267, ""n_estimators"": 1100, ""reg_alpha"": 0.03449265307130568, ""reg_lambda"": 5.876421553077341, ""scale_pos_weight"": 2.7618163611687336, ""subsample"": 0.8149654899750401}",COMPLETE
